B1;de;en
umarmen;to embrace
Argentinien;Argentina
anwenden;to apply, use, adopt
das Mineralwasser;the mineral water
finanziell;financial
die Wiese;the meadow, pasture
vierzehn;fourteen
der Geschäftspartner;the business partner
sich bessern;to improve
vergrößern;to increase, extend, enlarge, magnify
das Shampoo;the shampoo
der Pfeffer;the pepper
die Waschmaschine;the washing machine
die Speisekarte;the menu
der Einwanderer;the immigrant
vorziehen;to prefer
aufführen;to perform, list, act
der Mülleimer;the dustbin, the garbage can
beitragen;to contribute
ausschließen;to preclude, exclude
die Lebensversicherung;the life insurance
die Theke;the bar
optimistisch;optimistic
die Finanzen;the finances
der Krug;the jug, pitcher
die Besserung;the improvement, recovery
der Reißverschluss;the zipper
die Panne;the failure, the breakdown
buchen;to book, reserve, post
spülen;to rinse, to douse water over, to flush
der Kontinent;the continent
der Schwiegervater;the father
die Aktivität;the activity
amerikanisch;American
intensiv;intense
reduzieren;to reduce
das Geburtstagsgeschenk;the birthday present
der Mitbürger;the fellow citizen
die Shorts;the shorts
die Salami;the salami
die Zahnpasta;the toothpaste
die Belastung;the burden, strain, load, charge
die Kollegin;the female colleague
die Reklame;the advertisement
die Beerdigung;the funeral, burial, interment
umkommen;to die, perish
vereinbaren;to arrange, agree, stipulate
der Ablauf;the procedure, expiration, flow
heiter;cheerful, serene, clear
verdächtig;suspicious, suspect, fishy
ausüben;to carry out, to exercise, to practice
die Quote;the quota, rate, odds
das Porträt;the portrait
der Bürgersteig;the pavement, the sidewalk
das Ehepaar;the married couple
Valentinstag;Valentine's Day
die Waage;the scale, scales
machbar;doable, feasible, viable
berücksichtigen;to regard, consider, to take into account
der Schlips;the tie, necktie
der Schaffner;the ticket collector
der Lehrling;the apprentice
der Alltag;the daily routine
türkisch;Turkish
flüchtig;volatile, briefly, brief, fleeting
hineingehen;to go in
der Millimeter;the millimeter
das Kalb;the calf
das Getue;the fuss, commotion, carrying on about something
qualifiziert;qualified
jährlich;yearly
pflücken;to pick, pluck, gather
der Bäcker;the baker
dröhnen;to roar, to get high
die Reparatur;the repair
die Fremdsprache;the foreign language
die DDR;the initials of the former GDR
das Pfand;the pledge, deposit, collateral, refund on bottle return
definieren;to define
der Schneesturm;the snowstorm
die Definition;the definition
der ICE;the InterCity Express
der Schlafanzug;the pajamas
der Gutschein;the voucher, coupon, token
die Serviette;the napkin
erleichtern;to facilitate, ease, relieve
die Sauna;the sauna
buchstabieren;to spell
das Konsulat;the consulate
die Kartoffel;the potato
das Treppenhaus;the staircase
die Hochschule;the college, the university
der Schnabel;the beak, mouth
der Toaster;the toaster
das Gymnasium;The nominally six
das Taschengeld;the pocket money
der Vormittag;the morning, vornoon
vorbeigehen;to go by, to pass by, pass
erzielen;to achieve, attain, obtain, make
donnern;to thunder, boom
die Überwachung;the surveillance, monitoring, supervision, stakeout
geschmacklos;tacky, tasteless, crude
das Kamel;the camel
krumm;crooked, bent, lopsided
der Faktor;the factor
schaufeln;to shovel
die Säge;the saw
der Drucker;the printer
der Vorgang;the process, operation, event, procedure
die Landkarte;the map
der Verlag;the publisher, Publishing house
maximal;maximal, maximum
anerkennen;to recognise
die Diktatur;the dictatorship
der Paragraph;the paragraph
vergnügt;cheerful, cheery, merry, enjoyable
die Wartezeit;the waiting period
zelten;to camp
die Blockade;the blockade
der Ausschnitt;the cleavage, extract, excerpt, neckline, snippet, section, clipping
miserabel;miserable
die Bäckerei;the bakery
der Staubsauger;the vacuum cleaner
die Pfanne;the pan
der Aufbau;the construction
die Bedrohung;the threat, menace, intimidation
Peru;Peru
anschließend;subsequent, subsequently, afterwards, then
verbittert;embittered, rancorous, bitter
rechtfertigen;to justify, vindicate, back up
kreativ;creative
die Ukraine;the Ukraine
rücksichtslos;reckless, ruthless, without regard, inconsiderate, thoughtless
die Wichtigkeit;the importance
das Abteil;the compartment, section, cabin
der Stammbaum;pedigree, bloodline, genealogy, family tree
medizinisch;medical
das Koffein;the caffeine
durchsetzen;to enforce sth, assert
die Großeltern;the grandparents
die Disco;the disco
die Baustelle;the site, building site, construction site, jobsite
der Umfang;the extent, scope, range, perimeter, circumference
der Zwilling;the twin
die Viertelstunde;the quarter hour
einreichen;to submit sth, to file sth, bring to hand in
abfahren;to depart
joggen;to jog
das Klopapier;the toilet paper
das Postamt;the post office
die Olive;the olive
die Reisende;the traveler
das Thermometer;the thermometer
der Zeitraum;the period/stretch of time, duration, interval
